"Kraftwerksliste Bundesnetzagentur (bundesweit; alle Netz- und Umspannebenen) Stand 02.02.2018";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
"Daten aus Monitoring 2012/2013/2014/2015/2016/2017 (Nicht-EEG-Anlagen) sowie EEG-Anlagen bis zum 31.12.2016 (Quellen EEG-Anlagen: EEG Jahresabrechnung 2016 der ÜNB; Stand August 2017 und Registerdaten der Bundesnetzagentur; Stand August 2017)";;;;;;;;;;;;;;;;;;;
Hinweise: ;Erzeugungsanlagen ? 10 MW (Netto-Nennleistung) in Deutschland sind einzeln aufgeführt. Wind- oder Solarparks sind einzeln aufgeführt, sofern die Summe der einzelnen Erzeugungsanlagen eines Parks mindestens 10 MW beträgt.;;;;;;;;;;;;;;;;;;
;In das deutsche Netz einspeisende Kraftwerksleistungen in Luxemburg, Schweiz und Österreich sind ebenfalls enthalten.;;;;;;;;;;;;;;;;;;
;Erzeugungsanlagen < 10 MW, die nach EEG vergütungsfähig sind, werden in Summe je Bundesland und Energieträger dargestellt (Ausgewertet zum 31.12.2015).;;;;;;;;;;;;;;;;;;
;Erzeugungsanlagen < 10 MW, die nicht nach EEG vergütungsfähig sind, werden in Summe je Netzbetreiber und Energieträger aufgeführt (Stand August 2016).;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;"PLZ
(Standort Kraftwerk)";"Ort
(Standort Kraftwerk)";Straße und Hausnummer (Standort Kraftwerk);Bundesland;Blockname;"Aufnahme der kommerziellen Stromerzeugung der derzeit in Betrieb befindlichen Erzeugungseinheit
(Jahr)";"Kraftwerksstatus 
(in Betrieb/
vorläufig stillgelegt/
saisonale Konservierung
Netzreserve/ Sicherheitsbereitschaft/
Sonderfall)";Energieträger;"Spezifizierung ""Mehrere Energieträger"" und ""Sonstige Energieträger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energieträger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energieträger (Zuordnung zu einem Hauptenergieträger bei Mehreren Energieträgern)";"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
BNA0001;;;52074;Aachen;;Nordrhein-Westfalen;;1997;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;15,0;;MS;INFRAWEST GmbH
BNA1011;Breeze Three Energy GmbH & Co. KG;Windpark Waldhausen;73433;Aalen;;Baden-Württemberg;;2006;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;14,0;DE0010107343300000000000000287689 & DE 0010107343300000000000000690;20;Netzgesellschaft Ostwürttemberg DonauRies GmbH
BNA0002;ecoJoule construct GmbH;;28832;Achim;;Niedersachsen;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;13,3;;HS/MS;EWE NETZ GmbH
BNA0003;Sendenhorster Windenergie GmbH & Co. KG;;59229;Ahlen;;Nordrhein-Westfalen;;2003;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;15,0;;MS;Stadtwerke Ahlen Netz GmbH
BNA1099;Breloh Windenergie GmbH und Co. KG;11 Windkraftanlagen;59227;Ahlen;Halene - Kampen ;Nordrhein-Westfalen;11 Windkraftanlagen 2,3 MW;;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;25,3;Umspannwerk Rosendahl, Ahlen;110;Westnetz GmbH
BNA0004;Windpark Ahlerstedt GmbH & Co. KG;;21702;Ahlerstedt;;Niedersachsen;;1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;39,6;;HS/MS;EWE NETZ GmbH
BNA0005;Lausitz Energie Kraftwerke AG;Ahrensfelde;16356;Ahrensfelde;Lindenberger Weg;Brandenburg;GT A;1990;Vorläufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Nein;37,5;Malchow;110;50Hertz Transmission GmbH
BNA0006;Lausitz Energie Kraftwerke AG;Ahrensfelde;16356;Ahrensfelde;Lindenberger Weg;Brandenburg;GT B;1990;Vorläufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Nein;37,5;Malchow;110;50Hertz Transmission GmbH
BNA0007;Lausitz Energie Kraftwerke AG;Ahrensfelde;16356;Ahrensfelde;Lindenberger Weg;Brandenburg;GT C;1990;Vorläufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Nein;37,5;Malchow;110;50Hertz Transmission GmbH
BNA0008;Lausitz Energie Kraftwerke AG;Ahrensfelde;16356;Ahrensfelde;Lindenberger Weg;Brandenburg;GT D;1990;Vorläufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Nein;37,5;Malchow;110;50Hertz Transmission GmbH
BNA1344;;;16356;Ahrensfelde;Mehrower Weg 1, Anl. 2;Brandenburg;;2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;10,9;;;E.DIS AG
BNA1804;;Steife Brise;25885;Ahrenviöl;91/2;Schleswig-Holstein;;2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;10,1;;;
BNA0009;Erste Buergerwindp. Ahrenvioel Ahrenvioelfeld GmbH & Co. KG;;25885;Ahrenviölfeld;;Schleswig-Holstein;;2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;15,0;;MS;Schleswig-Holstein Netz AG 
BNA0010a;RWE Vertrieb AG;RADAG;79774;Albbruck;Kraftwerkstrasse 34;Baden-Württemberg;;1933;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;79,5;Tiengen;110;Amprion GmbH
BNA0012a;Sappi Alfeld GmbH;Werkskraftwerk Sappi Alfeld;31061;Alfeld;Mühlenmarsch 1;Niedersachsen;Turbine 5;1988;in Betrieb;Biomasse;;;Biomasse;Ja;Ja;16,0;;6;Überlandwerk Leinetal GmbH
BNA0012b;Sappi Alfeld GmbH;Werkskraftwerk Sappi Alfeld;31061;Alfeld;Mühlenmarsch 1;Niedersachsen;Gaskraftwerk;1947;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;11,0;;6;Überlandwerk Leinetal GmbH
BNA0012c;Sappi Alfeld GmbH;Werkskraftwerk Sappi Alfeld;31061;Alfeld;Mühlenmarsch 1;Niedersachsen;Wasserturbine;1912;in Betrieb;Laufwasser;;;Laufwasser;Ja;Nein;0,1;;;
BNA0012d;Sappi Alfeld GmbH;Werkskraftwerk Sappi Alfeld;31061;Alfeld;Mühlenmarsch 1;Niedersachsen;Dieselgenerator;1994;Vorläufig Stillgelegt (ohne StA);Mineralölprodukte;;;Mineralölprodukte;Nein;Nein;2,8;;;
