InspireID_Betrieb,PRTR_Kennnummer,sseid
06-02-B10117A007,06-02-B10117A007,SEE987197130805
06-02-B10117A007,06-02-B10117A007,SEE913896693631
06-05-100-0030723,06-05-100-0030723,BNA1084
06-05-100-0431554,06-05-100-0431554,BNA0992
06-05-100-0431554,06-05-100-0431554,BNA0991
06-05-100-0853075,06-05-100-0853075,BNA0989
06-05-100-0853075,06-05-100-0853075,BNA0990
16-30-31400103005,16-30-31400103005,BNA0343
BB16012651,12-10682800005,SEE936112096313
BB16018798,12-60510410000,SEE905035807238
BB16018798,12-60510410000,SEE902267138956
BB16018798,12-60510410000,SEE963827374382
BB23020389,12-20730660000,SEE975248607116
BB23020490,12-20730670000,SEE943750140889
BB23020490,12-20730670000,SEE995943794058
BB23020490,12-20730670000,SEE954086855965
BB23020490,12-20730670000,SEE960529046555
BB23020490,12-20730670000,SEE906257837416
BB23022811,12-30532000000,SEE994335340088
BB23022811,12-30532000000,SEE946069613440
BB23022811,12-30532000000,SEE900549498521
BB23022811,12-30532000000,SEE939848582457
BB23022811,12-30532000000,SEE937997291855
BB23022811,12-30532000000,SEE969511682320
BB45025564,12-40710010000,SEE991817093418
BB45025564,12-40710010000,SEE964729462818
BB45025564,12-40710010000,SEE938669585906
BB45025564,12-40710010000,SEE989591633753
BB45025564,12-40710010000,SEE923943268279
BB45025564,12-40710010000,SEE985047526785
BB45025575,12-40520430000,SEE978888539755
BB45025575,12-40520430000,SEE911129038174
BB45025575,12-40520430000,SEE941974735591
BB45025575,12-40520430000,SEE946537967655
BB45025611,12-40716440000,SEE952672318108
BB45025611,12-40716440000,SEE938337436349
BB45026224,12-40669070000,SEE904165703137
BB45026224,12-40669070000,SEE971164680486
BB45026224,12-40669070000,SEE961788817153
BB45026224,12-40669070000,SEE918705951896
BB45026985,12-50724070000,SEE989393516094
BB45026985,12-50724070000,SEE980421575656
BB45026985,12-50724070000,SEE983877705974
BB45026985,12-50724070000,SEE957496380690
BB45026985,12-50724070000,BNA0737
BB45026985,12-50724070000,BNA0736
BB45026985,12-50724070000,SEE992841152355
BB45026985,12-50724070000,BNA0735
BE132279,06-11-01-1105608,BNA0083
BE132279,06-11-01-1105608,SEE956656118067
BE132279,06-11-01-1105608,SEE945212899878
BE166927,06-11-01-1105602,BNA0082
BE166928,06-11-01-1105609,SEE989328541450
BE166928,06-11-01-1105609,SEE974883809046
BE169709,06-11-01-1105501,SEE997719859992
BE169709,06-11-01-1105501,SEE988684097793
BE169709,06-11-01-1105501,SEE965333653821
BE172368,06-11-01-1150102,SEE932989146397
BE172368,06-11-01-1150102,SEE963154903477
BE172368,06-11-01-1150102,SEE944523267864
