plantid,sseid
12-30532000000,SEE969511682320
06-05-900-0327252,SEE948351715917
14-80-55047380000,SEE986249505394
14-80-55047380000,SEE955310827123
12-30532000000,SEE939848582457
12-30532000000,SEE900549498521
12-30532000000,SEE937997291855
12-30532000000,SEE946069613440
06-10-00101000,SEE934337929126
06-00453010412,SEE905366486355
06-10-00101000,SEE913600410226
06-10-00101000,SEE968581935343
06-10-00101000,SEE943764365964
06-10-00101000,SEE977622942226
06-50940010414,SEE968474056711
06-50940010414,SEE919189403703
06-00453010412,SEE909438607068
06-10-00101000,SEE908070409573
06-14600010611,SEE913088869400
06-05-100-0989137,SEE993292613167
06-09-100-0088-0003,SEE945217244789
06-09-100-0088-0003,SEE920560912882
01-50-04000082392,SEE923340224045
07-04-6021280,SEE916830465356
07-04-6021280,SEE966089822219
07-04-6021280,SEE920825895844
07-04-6021280,SEE945401341942
07-04-6021280,SEE979557966681
07-04-6021280,SEE983509659989
07-04-6021280,SEE997770651436
12305,SEE914438115895
06-11-01-1105502,SEE937536026146
06-05-500-0915123,SEE913516809497
13-60-80407,SEE982138852266
12305,SEE901050642113
12305,SEE946568262484
06-11-01-1105502,SEE982928435068
06-08-9840001,SEE903153060207
06-09-162-0025-0001,SEE902845037787
16591,SEE921877855527
06-09-162-0025-0001,SEE995752550746
06-09-162-0025-0001,SEE982889459141
06-09-162-0025-0001,SEE967283752913
06-09-162-0025-0001,SEE917331286914
661-85,SEE976944273018
06-09-162-0025-0001,SEE927436598478
16591,SEE966530598731
06-09-162-0025-0001,SEE910823411191
03-02-02020049510,SEE914931712744
06-09-279-0013-0001,SEE955178360381
06-09-279-0013-0001,SEE972750176482
03-02-02020049510,SEE955802157592
06-11-01-1105607,SEE929077603696
06-09-279-0013-0001,SEE946583344691
06-09-279-0013-0001,SEE918100281437
06-11-01-1105607,SEE923401813959
661-10,SEE918583974024
661-101,SEE964073339897
661-10,SEE904076796426
661-10,SEE939823727910
661-10,SEE987324322059
661-10,SEE941552924256
661-107,SEE957602727647
661-10,SEE979353792927
661-10,SEE932569905017
661-10,SEE937791832391
661-106,SEE949816813650
661-93,SEE907667929555
661-10,SEE994826833730
661-10,SEE905939296770
661-111,SEE901246020381
661-10,SEE963125615224
06-08-1371304,SEE953235539855
661-10,SEE953574430066
661-10,SEE916115669219
661-106,SEE904748267797
06-09-261-0007-0041,SEE943109996648
06-09-261-0007-0041,SEE996431301710
06-09-261-0007-0041,SEE935253303649
661-106,SEE971156902916
06-09-261-0007-0041,SEE975854838485
661-107,SEE984068604342
661-106,SEE968905685947
661-107,SEE956808243722
06-08-34064722,SEE955111508221
661-10,SEE916435406600
661-10,SEE985206646330
661-10,SEE934242259776
661-10,SEE921059219284
661-10,SEE967544153657
661-10,SEE940475173918
661-107,SEE929808661773
661-107,SEE948545926433
661-10,SEE951839779134
661-43,SEE961057667205
661-80,SEE951078548935
06-90031210632,SEE970554561831
06-09-674-2071-0001,SEE912906399075
06-05-700-9073419,SEE985288285472
661-90,SEE940081190514
06-05-100-0030712,SEE994055644299
06-05-700-9073419,SEE966835021620
06-08-34064722,SEE934531299087
06-09-279-0013-0001,SEE993922966908
06-09-279-0013-0001,SEE933402065318
661-42,SEE957769851605
06-05-300-0370387,SEE931050475398
661-67,SEE992491089179
06-09-362-0100-0001,SEE928797247012
06-09-187-4135-0001,SEE957952105034
06-05-300-0213768,SEE969775213346
06-05-100-0167182,SEE975361659900
661-102,SEE972612434835
01-50-01000004838,SEE999539592561
01-50-01000004838,SEE966920434281
06-05-500-0875741,SEE945093389369
661-89,SEE977956291342
661-77,SEE972475289894
06-05-500-0875741,SEE977273010268
06-02-BERZ003800,SEE972471937317
06-08-3610519,SEE982694984074
07-01-126351,SEE982064018118
07-01-126351,SEE932782707160
03-09-09000237910,SEE970425279599
06-02-BERZ003800,SEE999848168525
07-01-126351,SEE958827094903
06-08-2948214,SEE988477355802
06-09-178-0722-0001,SEE925705511180
661-90,SEE991036415459
661-97,SEE970806189455
06-08-2797933,SEE980331579218
661-90,SEE997248724068
14-70-51322590000,SEE917568874298
06-09-171-0009-0B01,SEE921503407342
03-01-01010356620,SEE971995083203
661-105,SEE989392899242
661-105,SEE939329445868
06-09-178-0722-0001,SEE976877764072
06-05-100-0154540,SEE966481430050
06-09-190-0036-0002,SEE933094075404
06-09-279-0013-0001,SEE976607134694
06-04-11_2001178_8_2,SEE989202977269
06-09-178-0722-0001,SEE925623713673
661-54,SEE917096062495
06-09-190-0036-0002,SEE912975333499
06-09-178-0722-0001,SEE980130244065
14-70-51322590000,SEE989200392347
03-03-03030273580,SEE954183997452
06-09-500-0112-0001,SEE982350358232
03-03-03030273580,SEE964077382691
661-12,SEE999306148830
661-12,SEE942581404276
661-12,SEE925723270861
03-03-03030273580,SEE926897163430
06-05-900-0079017,SEE978327902850
16-30-30400102003,SEE997242656822
14-70-51322590000,SEE904662075126
03-03-03030273580,SEE920864082298
06-26200010633,SEE961847934449
06-26200010633,SEE998387657606
06-05-100-0365906,SEE918143230942
06-05-900-9141660,SEE961029163353
661-15,SEE997562455938
661-15,SEE961328936443
06-08-1574906,SEE924343365650
06-02-B28903H003,SEE975217906967
06-05-900-0888950,SEE994761683902
661-75,SEE970980016073
