,BNA0157,E.ON Kernkraft GmbH,Brokdorf,Schleswig-Holstein,1986,in Betrieb,Kernenergie,Nein,1410.0
,BNA0263,E.ON Kernkraft GmbH,Isar 2,Bayern,1988,in Betrieb,Kernenergie,Nein,1410.0
,BNA0802,EnBW Energie Baden-Württemberg AG,Kernkraftwerk Philippsburg 2,Baden-Württemberg,1985,in Betrieb,Kernenergie,Nein,1402.0
,BNA0251,E.ON Kernkraft GmbH,Grohnde,Niedersachsen,1985,in Betrieb,Kernenergie,Nein,1360.0
,BNA0607,Kernkraftwerke Lippe-Ems GmbH (KLE),Kernkraftwerk Emsland,Niedersachsen,1988,in Betrieb,Kernenergie,Nein,1336.0
,BNA0686,EnBW Energie Baden-Württemberg AG,Gemeinschaftskernkraftwerk Neckarwestheim II,Baden-Württemberg,1989,in Betrieb,Kernenergie,Nein,1310.0
,BNA0382,Kernkraftwerk Gundremmingen GmbH (KGG),Kernkraft Gundremmingen ,Bayern,1984,in Betrieb,Kernenergie,Nein,1288.0
,BNA0381,E.ON Kernkraft GmbH,Kernkraft Gundremmingen ,Bayern,1984,in Betrieb,Kernenergie,Nein,1284.0
,BNA0355,E.ON Kernkraft GmbH,Grafenrheinfeld,Bayern,1982,Endgültig Stillgelegt 2015 (mit StA),Kernenergie,Nein,1275.0
06-05-100-0248923,BNA1401a,RWE Power AG,BoA 2,Nordrhein-Westfalen,2012,in Betrieb,Braunkohle,nein,1060.0
06-05-100-0248923,BNA1401b,RWE Power AG,BoA 3,Nordrhein-Westfalen,2012,in Betrieb,Braunkohle,nein,1060.0
,BNA0606,RWE Generation SE,Emsland,Niedersachsen,2010,in Betrieb,Erdgas,Ja,887.0
06-05-700-0105516,BNA0793,Uniper Kraftwerke GmbH ,Heyden,Nordrhein-Westfalen,1987,in Betrieb,Steinkohle,Nein,875.0
14-80-00009560000,BNA0116,EnBW Energie Baden-Württemberg AG,Braunkohlekraftwerk Lippendorf,Sachsen,1999,in Betrieb,Braunkohle,Ja,875.0
14-80-00009560000,BNA0115,Vattenfall Europe Generation AG,Lippendorf,Sachsen,2000,in Betrieb,Braunkohle,Ja,875.0
14-70-46630660001,BNA0124,Vattenfall Europe Generation AG,Boxberg,Sachsen,2000,in Betrieb,Braunkohle,Ja,857.0
,BNA0994,Gemeinschaftskraftwerk Irsching GmbH,Gemeinschaftskraftwerk Irsching ,Bayern,2010,Gesetzlich an Stilllegung gehindert,Erdgas,Nein,846.0
06-08-2948214,BNA0646b,Grosskraftwerk Mannheim AG,GKM ,Baden-Württemberg,2015,in Betrieb,Steinkohle,Ja,843.0
06-08-2797933,BNA0518b,EnBW Energie Baden-Württemberg AG,Rheinhafen-Dampfkraftwerk,Baden-Württemberg,2014,in Betrieb,Steinkohle,Ja,842.0
06-02-BERZ003800,BNA1558,Vattenfall Kraftwerk Moorburg GmbH,Moorburg B,Hamburg,2015,in Betrieb,Steinkohle,Nein,800.0
06-02-BERZ003800,BNA1673,Vattenfall Kraftwerk Moorburg GmbH,Moorburg A,Hamburg,2015,in Betrieb,Steinkohle,,800.0
,BNA0548a,Statkraft Markets GmbH,Knapsack Gas I,Nordrhein-Westfalen,2006,in Betrieb,Erdgas,Nein,800.0
06-05-500-0338944,BNA0493,RWE Generation SE,Ibbenbüren,Nordrhein-Westfalen,1985,in Betrieb,Steinkohle,Ja,794.0
06-08-1020129,BNA0434,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Heilbronn,Baden-Württemberg,1985,in Betrieb,Steinkohle,Ja,778.0
06-05-900-0079017,BNA0413b,RWE Generation SE,Westfalen,Nordrhein-Westfalen,2014,Sonderfall,Steinkohle,Nein,765.0
06-05-900-0079017,BNA0413c,RWE Generation SE,Westfalen,Nordrhein-Westfalen,2014,in Betrieb,Steinkohle,Nein,764.0
03-09-09281566110,BNA1061,Uniper Kraftwerke GmbH ,Wilhelmshaven,Niedersachsen,1976,in Betrieb,Steinkohle,Nein,757.0
12-40716440000,BNA0915,Vattenfall Europe Generation AG,Schwarze Pumpe,Brandenburg,1998,in Betrieb,Braunkohle,Ja,750.0
12-40716440000,BNA0914,Vattenfall Europe Generation AG,Schwarze Pumpe,Brandenburg,1997,in Betrieb,Braunkohle,Ja,750.0
06-05-900-9141660,BNA1508,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,Trianel Kohlekraftwerk Lünen,Nordrhein-Westfalen,2013,in Betrieb,Steinkohle,Ja,746.0
