plantid,plantname,free_co2s
BWpf-450-80920445-00000000,HKW Aalen,
SD661-59,Turbine 4,
BWpf-450-1741292-00000000,Heizkraftwerk  Altbach/Deizisau HKW 1,17065
MV60004935,Kesselhaus,
RP5000221,Dampfturbine 7,
NW900-0001413,BVI-NT,
BYS00860,GuD-Anlage (Gasturbine),
BYS00995,Prüfstand 15,
SD661-29,BHKW GT-Ost,
SD661-37,"HKW, Dampfturbine 2",
SD661-111,Gasmotor Bad Salzungen,
SD661-112,Gasturbine Bad Salzungen,
SD661-99,Stromerzeugung Barby,
HE50000213,VW Baunatal Dampfturbine,
NW300-0181417,KWK-Anlage: Generator 1,
SD664-07,Fab Fortuna,
NW300-0326774,Niederaußem G,26041
NW900-0205103,Bergkamen A,474
SD661-38,Turboeinheit 1 Dampfturbine 60 t Gen 10 MW,
BE173097,GuD Lichterfelde Dampfturbine,10272
BE172656,GuD Marzahn Dampfturbine,22820
BE222276,HKW Charlottenburg Gasturbine 4,9215
BE169709,HKW Klingenberg Dampfturbine 1,82983
BE172654,HKW Mitte Dampfturbine,79075
BE173145,HKW Moabit Dampfturbine,22540
BE166928,HKW Reuter West Dampfturbine D,63958
BE172368,KWK Adlershof Modul 1,
BE181711,BHKW 10,
ST101071,Gasturbine 01 Industriekraftwerk,
SL0100999-G,Bexbach,
SD662-98,bnBm GasKW BIB GT1,
SD661-77,Dampfturbine - GuD MPE,
NW700-9073508,Gasturbine 2 - GuD MPE,
NW700-0020290,HKW Schildescher Str GT,
ST100850,Bitterfeld BHKW,
SD661-103,Wolfen GT,
SD661-78,KWK Hiltrop,
NW300-0838652,"Heizkraftwerk Bonn-Nord, Dampfturbine GuD-Anlage",
SN70015796,Boxberg Block N,6085
SD661-39,HKW BRB,
BB16018798,Kirchmöser DT,
NI01010157480,HKW Mitte GuD BMHKW,
NI01010959490,HKW Nord GT,
DE.EEA43267,BHKW Braunschweig,
SD661-115,GT1,
HB06-04-11_2000122_0_0,GUD Mibü,
SD661-43,Gasturbine Kraftwerk,
NW900-0235121,GT6,
SH10000140,GT1,
BYS00114,Gasturbinenanlage 12,
BYS00108,Dampfgeneratorturbine 1,
BYS00104,BNA0174,
