BlockID,PLZ,Ort,Straße und Hausnummer (Standort Kraftwerk),Bundesland,Blockname,Nettoleistung
BNA1401a,41517,Grevenbroich,Energiestraße 101,Nordrhein-Westfalen,Neurath F,1060.0
BNA1401b,41517,Grevenbroich,Energiestraße 101,Nordrhein-Westfalen,Neurath G,1060.0
BNA0115,4007,Böhlen,Werkstraße,Sachsen,R,875.0
BNA0116,4564,Böhlen,Werkstraße,Sachsen,LIP S,875.0
BNA0793,32469,Petershagen,,Nordrhein-Westfalen,4,875.0
BNA0124,2945,Boxberg,Kraftwerksstraße,Sachsen,Q,857.0
BNA0646b,68199,Mannheim,Marguerrestraße 1,Baden-Württemberg,Block 9,843.0
BNA0518b,76189,Karlsruhe,Fettweisstraße 42,Baden-Württemberg,RDK 8,842.0
BNA1558,21079,Hamburg,,Hamburg,B,800.0
BNA1673,21079,Hamburg,Moorburger Schanze 2,Hamburg,Moorburg A,800.0
BNA0493,49479,Ibbenbüren,,Nordrhein-Westfalen,B,794.0
BNA0434,74076,Heilbronn,Lichtenbergerstraße 23,Baden-Württemberg,HLB 7,778.0
BNA0413b,59071,Hamm-Uentrop,,Nordrhein-Westfalen,D,765.0
BNA0413c,59071,Hamm-Uentrop,,Nordrhein-Westfalen,E,764.0
BNA1061,26386,Wilhelmshaven,,Niedersachsen,1,757.0
BNA0914,3130,Spremberg,"An der alten
Ziegelei 1",Brandenburg,A,750.0
BNA0915,3131,Spremberg,An der alten Ziegelei 1,Brandenburg,B,750.0
BNA1508,44536,Lünen,Frydagstr. 40,Nordrhein-Westfalen,,746.0
BNA1674,26386,Wilhelmshaven,Niedersachsendamm,Niedersachsen,Kraftwerk Wilhelmshaven,731.0
BNA0093,66450,Bexbach,Grubenstraße,Saarland,BEX,726.0
BNA0216b,47180,Duisburg,Dr. Wilhelm-Roelen-Str.129,Nordrhein-Westfalen,Walsum 10,725.0
BNA0067,59192,Bergkamen,,Nordrhein-Westfalen,A,717.0
BNA0991,46562,Voerde,Frankfurter Str 430,Nordrhein-Westfalen,Block A,695.0
BNA0992,46563,Voerde,Frankfurter Str 430,Nordrhein-Westfalen,Block B,695.0
BNA0335,45896,Gelsenkirchen,,Nordrhein-Westfalen,F,676.0
BNA0820,66287,Quierschied,Holzer Straße,Saarland,Weiher III,655.6
BNA0707,50129,Bergheim,,Nordrhein-Westfalen,H,648.0
BNA1404,2943,Boxberg,Kraftwerkstraße ,Sachsen,R,640.0
BNA1027,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,G,636.0
BNA1028,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,H,636.0
BNA0709,50129,Bergheim,,Nordrhein-Westfalen,K,632.0
BNA0708,50129,Bergheim,,Nordrhein-Westfalen,G,628.0
BNA1046a,59368,Werne,,Nordrhein-Westfalen,K2,620.0
BNA0699,41517,Grevenbroich-Neurath,,Nordrhein-Westfalen,D,607.0
BNA0700,41517,Grevenbroich-Neurath,,Nordrhein-Westfalen,E,604.0
BNA0849,18147,Rostock,Am Kühlturm 1,Mecklenburg-Vorpommern,Rostock,514.0
BNA0377,63538,Großkrotzenburg,,Hessen,5,510.0
BNA0518a,76189,Karlsruhe,Fettweisstraße 42,Baden-Württemberg,RDK 7,505.0
BNA1093,85406,Zolling,Leininger Str. 1,Bayern,Zolling Block 5,472.0
BNA0122,2943,Boxberg,Kraftwerksstraße,Sachsen,N,465.0
BNA0123,2944,Boxberg,Kraftwerksstraße,Sachsen,P,465.0
BNA0785,3185,Peitz,Kraftwerksstraße,Brandenburg,A,465.0
BNA0786,3185,Peitz,Kraftwerksstraße,Brandenburg,B,465.0
BNA0787,3185,Peitz,Kraftwerksstraße,Brandenburg,C,465.0
